"no","district","landid","eligible","voters","cducsu1","cducsu2","spd1","spd2","fdp1","fdp2","dielink1","dielinke2","greens1","greens2","pirates1","pirates2","afd1","afd2","turnout","area","population","popdensity","pop18_25","pop25_35","pop35_60","pop60_75","pop75_","abitur","localbusinesstax","unemployment","socialbenefits","land","east"
187,"Odenwald",6,234360,177273,45.310340548194,39.6061441956756,32.4843602804714,27.2190350476384,2.58414987053866,5.05660760521907,4.86312072340402,5.3358379448647,6.68686150739255,8.77742239370914,2.97789285452381,2.27558624268783,NA,5.56429913184749,75.6413210445469,1115.1,316.3,282.8,7.9,10.6,38.1,17.5,9.1,32,336.4,5.1,58.7,"Hesse",FALSE
188,"Bergstraße",6,199685,148381,47.2641375917402,41.3375027800055,31.0679938806181,26.8484509472237,1.88366435055701,5.37467735087376,3.86168040382529,4.73443365390448,5.54114071208578,8.43773798532157,1.87288129881858,1.98879910500671,4.13058275655239,5.48183392752441,74.3075343666274,719.5,263.4,365.3,7.6,10.5,38.1,17.7,9.6,37.6,387.3,4.6,51.3,"Hesse",FALSE
189,"Eichsfeld - Nordhausen - Unstrut-Hainich-Kreis I",16,196621,134013,49.087775066598,44.2001895338512,16.2864796698828,15.0597330109765,1.36180818278824,2.73182452448643,19.4690067381523,19.6413780752614,3.08104437629185,3.94961682821816,2.01622230679113,1.76550036190519,NA,5.21964287046779,68.158029915421,1909.1,241.1,126.9,7.3,12.3,37.6,18.7,9.9,32.9,199.7,8.6,82.3,"Thuringia",TRUE
190,"Eisenach - Wartburgkreis - Unstrut-Hainich-Kreis II",16,192663,129904,42.5083138317527,39.6000123167878,18.1395492055672,16.7285072053209,1.4834031284641,2.40408301514965,23.2633329227737,22.1602106170711,3.17850104692696,3.94214188939525,2.65580736543909,2.06460155191526,NA,4.85512378371721,67.4255046376315,2126.2,230.6,108.9,6.6,11.9,38.4,19.2,10.3,30.8,270,7.7,71.8,"Thuringia",TRUE
191,"Kyffhäuserkreis - Sömmerda - Weimarer Land I",16,191261,127906,42.4921426672713,38.3867840445327,16.7849827216862,15.1400247056432,1.76144981470768,2.87085828655419,25.987052992041,24.0966021922349,3.08664175253702,3.70115553609682,3.55808171626038,2.40098197113505,NA,5.62835207105218,66.8751078369349,2554.3,229.2,90.2,6.3,11.4,39.3,19.4,9.9,28.2,223.1,9.5,92.7,"Thuringia",TRUE
192,"Gotha - Ilm-Kreis",16,205859,141461,36.6609878341027,37.6047108390298,24.5481086659927,16.8350287358353,1.32828129307724,2.31866026678731,19.8040449311118,21.7430952700744,2.91034277998883,4.53411187535787,2.58445790712635,2.52083613151328,5.69980418631284,7.28752094216781,68.717423090562,1778.8,248.2,140,7,11.7,37.9,19.8,10.3,32.5,278,8,85,"Thuringia",TRUE
193,"Erfurt - Weimar - Weimarer Land II",16,224121,156367,36.4475880460711,33.9732808073315,23.4665882187418,17.3687542767975,1.13898712643972,2.56767732322037,22.9696803033888,22.6524778246049,5.85225782933739,8.39371478636797,3.62608478771096,3.10103794278844,NA,5.96545306874213,69.7690087051191,441.5,279.5,631.1,9,15,35.3,17.7,9.2,42.6,257.8,8.8,113,"Thuringia",TRUE
194,"Gera - Jena - Saale-Holzland-Kreis",16,238320,168091,35.534918585766,34.3206953376445,18.0318993878316,15.6337935998953,1.63899316441689,2.76814344610955,26.5671570756317,25.204799781071,4.67782332189112,6.80286273506612,2.35467693094812,2.777662099696,5.42920203937153,6.53693535049467,70.5316381336019,1083.4,289.3,268.2,8.3,13.7,35.7,19.2,10.2,36.8,336.7,8.4,90.9,"Thuringia",TRUE
195,"Greiz - Altenburger Land",16,170746,115990,43.9805155616864,41.020777653246,13.6848004138288,13.9779291318217,1.54409862919217,2.61401844986637,23.818432623502,22.5648762824381,2.76834209845676,3.31235451332011,2.76489352530391,2.1225967755841,5.85567721355289,7.34804724545219,67.9313131786396,1412.6,201.8,144,5.8,10.2,38.3,21.2,12.3,30.9,197.6,10.1,93.3,"Thuringia",TRUE
196,"Sonneberg - Saalfeld-Rudolstadt - Saale-Orla-Kreis",16,218597,147040,40.229189336235,37.3088955386289,19.3967627856366,15.6433623503808,2.23000544069641,2.41566920565832,25.7807399347116,24.3600380848749,3.85881392818281,3.70103373231774,NA,2.19736126224157,NA,6.66961371055495,67.2653330100596,2616.5,260,100.1,6.3,11.1,38.4,20.1,11.7,27,253.2,6.9,66.2,"Thuringia",TRUE
197,"Suhl - Schmalkalden-Meiningen - Hildburghausen",16,196071,130631,41.3217383316364,39.0871998224005,18.0041490917164,16.05132013075,1.37180301766043,2.38304843413891,26.9055584049728,24.6090131745145,2.8354678445392,3.90795446716323,2.7451370654745,1.992635744961,NA,5.01948235870505,66.6243350622989,2250.1,232,103.7,6.6,11.8,38.6,20.2,10.5,26.4,220.1,6.2,56,"Thuringia",TRUE
198,"Neuwied",7,240333,173536,45.9760510787387,44.9503273096072,36.5647473723032,28.1589987092015,2.25082979900424,4.62324820210216,4.41118845657385,5.16607505070994,3.90639406232713,6.14339387792735,1.96962013645584,1.8722340033192,NA,5.04736769315877,72.2064801754233,1268.9,310.4,245.4,8.4,10.2,36.8,16.9,10.4,25.3,351.9,5.5,55.1,"Rhineland-Palatinate",FALSE
199,"Ahrweiler",7,195077,142594,54.2652566026621,48.164719413159,27.4001711151942,24.306773076006,2.32337966534356,5.53810118237794,4.36273616000673,4.60678569925803,5.47919267290349,6.51289675582423,2.98399652159277,2.04777199601666,NA,5.13906615986647,73.0962645519461,1337.2,244.9,183.3,8,10.2,37.4,17.4,10.5,32.2,359.8,4.4,46.1,"Rhineland-Palatinate",FALSE
200,"Koblenz",7,198113,142888,46.9220648339959,44.3893119086277,30.1592855943116,26.7489222327977,2.6398297967639,5.31535188399306,4.82965679413247,5.1494877106545,7.82710934438161,7.59545938077375,2.76650243547394,2.15063546274005,NA,4.63649851632047,72.1244946066134,635,251.1,392.9,8.1,12,35.7,17.8,10.8,37.1,606.3,5.2,63.4,"Rhineland-Palatinate",FALSE
201,"Mosel/Rhein-Hunsrück",7,175441,129262,52.3417555043246,48.5084556946357,27.1897386702975,24.1385712738469,3.08675403444168,6.14875214680262,4.36864662468475,4.74926892667605,3.93232349801179,5.61417895437174,2.01606040444988,1.81956027293404,NA,4.1179929136173,73.6783306068707,2287.4,217.7,95.5,7.9,10.3,36.8,17.4,11.1,25.4,349.2,4.2,32.9,"Rhineland-Palatinate",FALSE
202,"Kreuznach",7,187473,132299,40.3056712446806,40.3139857444123,36.6752583163894,30.7696959160689,2.84733822629045,5.46942909621388,5.0552158368544,5.65763913559437,4.33336608742319,6.21395475400419,2.26456738146169,1.80953748705584,NA,4.67123712197371,70.5696286931985,1640.3,236.9,145,7.9,10.4,36.9,17.8,10.7,33.3,312.3,6.6,66.7,"Rhineland-Palatinate",FALSE
203,"Bitburg",7,166313,119298,54.6966420224983,51.2933997217053,25.6609498901909,21.9525893141545,3.19116833475834,5.98165937400459,3.24146255595232,4.3035088601653,4.84081878992104,6.00596824758169,1.73347415715268,1.80975372596355,NA,3.57424265285252,71.7310132100317,3100.8,210,67.7,8.3,10.6,36.9,16.3,10.6,30,342.5,3.7,30,"Rhineland-Palatinate",FALSE
204,"Trier",7,193803,141134,47.6717162413026,43.1568580214548,30.3817648475917,25.7981776184335,1.88189947142432,4.84716652259555,5.44659685121941,6.1558518854422,6.7701616903085,9.32234613913019,2.73711508212054,2.48558107897459,NA,4.06422265364831,72.8234341057672,1218.6,248.5,204,9.9,13.2,36.7,14.8,9.4,35.3,312.4,4.2,38,"Rhineland-Palatinate",FALSE
205,"Montabaur",7,211010,155100,48.2830431979368,44.5641521598968,30.3655705996132,27.4016763378466,2.39458413926499,5.15409413281754,4.65312701482914,4.98001289490651,5.81173436492585,6.21921341070277,2.39007092198582,2.00128949065119,NA,5.04900064474533,73.5036254205962,1508.5,268.3,178.5,8.2,10.6,37.5,16.5,9.7,24.1,377.8,3.7,39.4,"Rhineland-Palatinate",FALSE
206,"Mainz",7,256317,196076,39.4158387564006,37.9403904608417,34.2566147820233,26.3234664109835,4.91289091984741,6.47096023990698,4.2631428629715,5.43258736408331,9.86301230135254,12.923050245823,2.63367265754095,2.44752034925233,NA,4.49570574675126,76.4974621269756,523.8,346.2,658.7,9.5,14.6,36.3,15.4,8.5,46.2,703,5,58.2,"Rhineland-Palatinate",FALSE
207,"Worms",7,201931,148928,41.1856736140954,38.6898366996132,36.2242157284057,29.3228942844865,2.45219166308552,5.81287602062742,3.59838311130211,4.96750107434465,5.44625590889557,8.23686613665664,1.83175762784701,2.10705844434895,4.24097550494198,5.49795874516545,73.7519251625555,876.5,265.8,302.7,8.1,11.1,38.8,15.9,8.5,33.5,297.4,5.4,57.3,"Rhineland-Palatinate",FALSE
208,"Ludwigshafen/Frankenthal",7,217129,155005,42.4154059546466,38.3374729847424,34.8395213057643,29.0319667107513,2.43411502854747,5.13015709170672,4.82307022354118,5.50820941259959,4.67533305377246,7.12364117286539,2.69604206315925,2.5018547788781,NA,5.95077578142641,71.3884372884322,314.7,314.8,993.7,8,11.7,36.9,17.1,10.1,33.3,757.7,6.5,84.5,"Rhineland-Palatinate",FALSE
209,"Neustadt - Speyer",7,220643,165435,46.7525009822589,42.9606794209206,27.9366518572249,25.3767340647384,2.63245383383202,5.6439084836945,4.37875902922598,4.75775984525645,7.89071236437271,8.41115846102699,2.53211230997068,2.21234926103908,NA,4.83271375464684,74.9785853165521,866.1,284.7,328.2,7.5,10.2,38,17.8,10.2,42.7,320.7,4.5,47.2,"Rhineland-Palatinate",FALSE
210,"Kaiserslautern",7,232164,163010,36.246856021103,35.1978406232746,37.5762223176492,32.0483405926017,2.19863812036071,4.48745475737685,7.2467946751733,7.42715170848414,5.1812772222563,7.01183976443163,2.95073921845286,2.62437887246181,NA,4.35617446782406,70.2132974965972,1695.9,298.2,176.3,9.1,11.5,37.1,16.4,10,35.2,316.8,7,68.7,"Rhineland-Palatinate",FALSE
211,"Pirmasens",7,180540,128753,44.4269259745404,42.6219194892546,31.207039835965,27.2677141503499,2.67644249066041,4.92726383074569,5.81423345475445,6.34703657390507,3.92922883350291,4.62901835297042,2.58324077885564,2.37742033195343,NA,4.2414545680489,71.3154979505927,1388.2,223.4,161.8,8.1,10.3,36.9,17.7,11.4,30.1,263.5,6.5,58.1,"Rhineland-Palatinate",FALSE
212,"Südpfalz",7,216137,158661,47.742041207354,41.9277579241275,27.3444639829574,25.5494418918323,3.91841725439774,6.09916740723933,3.9757722439667,4.75101001506356,6.97335829220791,8.3019771714536,2.90430540586534,2.57845343216039,NA,4.78000264715337,73.4076072120923,1186.1,278.6,234.2,8.6,11,38.1,16.4,9.2,31.1,330.6,4.2,40.5,"Rhineland-Palatinate",FALSE
213,"Altötting",9,167160,111846,65.1923180086905,58.1138350946838,14.2347513545411,15.0179711388874,2.05014037158235,3.9026876240545,2.53205300144842,2.89773438477907,5.39134166621962,5.71678915651878,2.07249253437763,1.7005525454643,3.28040341183413,4.01981295710173,66.9095477386935,1374.7,219.5,159.1,8.2,11,37.2,16.7,9.5,35.9,702.6,3.7,30.5,"Bavaria",FALSE
214,"Erding - Ebersberg",9,192385,143626,54.9977023658669,50.7220141200061,18.9610516201802,16.4803030092045,2.17578989876485,5.09796276440199,2.58449027334884,2.90894406305265,7.92126773703925,8.763733585841,NA,1.81791597621601,4.44557392115634,5.14878921643713,74.6555084855888,1420.1,262.1,182.4,7.8,11.4,38.9,15.1,7.5,39.7,418.4,2,15.3,"Bavaria",FALSE
215,"Freising",9,216717,155881,52.4303795844266,50.6309300042982,17.4267550246663,16.1937631911522,2.47239881704634,4.64970073325165,2.84832660811773,3.22682045919644,11.6556860682187,9.23140087630949,2.27032159147042,2.025262860772,3.7560703357048,4.76260737357343,71.9283674100324,1623.2,297.6,181.9,8.8,13,38.6,14.2,7.1,36.5,530.7,2.2,11.9,"Bavaria",FALSE
216,"Fürstenfeldbruck",9,251146,188417,55.1457671016946,50.1324190492365,19.9424680363237,18.3953677215962,2.22697527293185,5.01812469150873,2.70463917799349,3.03104284645228,7.70365731329976,8.80281503261383,2.26041174628616,1.91012488257429,4.6025570941051,5.20494435215506,75.022895049095,981.2,344.2,347.4,7.6,11.4,37.7,17.3,8.2,47.8,340.9,2.7,25,"Bavaria",FALSE
217,"Ingolstadt",9,254661,174710,61.0543185850839,55.4083910480224,16.3476618396199,17.1026272108065,1.9867208516971,4.23959704653426,3.86640718905615,3.52755995649934,6.49075611012535,6.15419838589663,2.06914315150821,1.77150706885696,2.79205540610154,3.48520405242974,68.6049296908439,2057.3,344.5,166,8.6,13.4,36.6,15,8.3,37.9,667.5,2.2,24,"Bavaria",FALSE
218,"München-Nord",9,225557,155942,42.9198035166921,36.6161778096985,31.181464903618,24.5924766900514,3.68662707929871,8.194072155032,3.66931294968642,4.54527965525644,10.235856921163,13.578125200395,3.19285375331854,2.70805812417437,NA,4.5568224083313,69.1364045451926,87.8,353.4,3971.8,8.6,18.4,35.3,15.3,7.5,47.8,1396.1,4.9,52,"Bavaria",FALSE
219,"München-Ost",9,236523,168795,44.2815249266862,39.307443940875,28.4670754465476,23.2157350632424,4.09964750140703,8.16078675316212,3.38457892710092,4.22465120412334,10.1306318315116,12.8670872952398,2.2257768298824,2.25954560265411,NA,4.62513700050357,71.3651526490024,79.7,363.7,4513.4,8.6,18.4,35.3,15.3,7.5,47.8,1396.1,4.9,52,"Bavaria",FALSE
220,"München-Süd",9,215368,154146,43.1493519131213,37.6895929832756,28.2660594501317,23.9234232480895,3.01662060643805,6.95898693446473,3.90992954731229,4.7623681444864,11.2925408379069,13.9088915703294,2.56250567643663,2.59688866399388,3.02375669819522,4.59434562038587,71.5733070836893,52.5,321.5,6072,8.6,18.4,35.3,15.3,7.5,47.8,1396.1,4.9,52,"Bavaria",FALSE
221,"München-West/Mitte",9,239700,174322,42.2557106962977,36.8404446943013,28.3492617110864,23.5816477553034,4.00637899978201,7.37141611500557,4.09300030977157,4.76818760684251,13.0465460469705,15.527586879453,2.5355376831381,2.47415701976802,NA,4.15839653055839,72.7250730079266,90.7,356.4,3869.1,8.6,18.4,35.3,15.3,7.5,47.8,1396.1,4.9,52,"Bavaria",FALSE
222,"München-Land",9,247787,192033,52.1660339629126,46.6086558039504,20.1975702092869,19.5263314117886,3.8686059166914,8.48812443694573,2.08089234662792,2.80160180802258,11.0809079689428,9.8733030260424,1.71793389677816,1.84655762290856,3.96077757468768,4.84447985502492,77.4992231230856,719.8,351.8,483.7,7.3,11.4,37.1,17.6,8.5,59.7,1803,3,19.7,"Bavaria",FALSE
223,"Rosenheim",9,231069,162958,57.6614833269922,53.7371592680323,12.4136280513997,14.7068569815535,2.62153438309258,4.93378661986524,2.41289166533708,2.87681488481695,9.28153266485843,8.36473201683869,2.24045459566269,1.71087028559506,4.03232734815106,4.78160016691417,70.523523276597,1476.8,314.7,211.7,8.2,11.2,37.2,17.2,8.8,36.9,431.2,3.1,24.8,"Bavaria",FALSE
224,"Starnberg",9,245379,182283,53.4240713615642,51.1298365728016,17.3784719364944,15.0013989236517,7.34078328752544,7.32158237465918,2.76548005025153,2.63107366018773,8.79456669025636,9.00632532929566,2.2004246144731,1.53826741934245,NA,5.5737507063193,74.2863081192767,2409.2,332.5,136.9,7.3,10.3,37.3,18.1,9.6,42.9,461.4,2.8,19.4,"Bavaria",FALSE
225,"Traunstein",9,206868,141456,61.9259699129058,56.8028220789503,17.3693586698337,14.7572390001131,2.34207103268861,4.33986539984165,2.91044565094446,2.96417260490895,8.46411605022056,8.71931908155186,2.14483655695057,1.49587150774799,NA,3.24977378124647,68.3798364174256,2373.9,275.2,115.4,8,11,36,18.1,10.4,37.1,493,3.4,22.3,"Bavaria",FALSE
226,"Weilheim",9,252724,184167,56.5986305907139,52.0641591598929,16.2998800002172,15.3892934130436,2.89139748163352,5.13718527206286,2.88922553986328,3.05646505617184,8.44831050079547,8.69699783348809,1.70334533331161,1.57845868152275,NA,5.24795430234515,72.8727782086387,2783,334.7,119.7,7.8,10.5,37.3,17.3,9.2,41.4,395.3,3.1,21.5,"Bavaria",FALSE
227,"Deggendorf",9,155082,93941,60.830734184222,55.8659158407937,15.732214900842,16.4337190364165,2.07577096262548,3.78641913541478,2.98272319860338,3.30739506711659,4.45705283103224,4.32718408362696,1.37958931669878,1.36255734982595,3.23607370583664,4.03125365921163,60.5750506183825,1845.5,196.5,106.5,8.5,11.2,38.3,16,9.1,36.7,338.2,3.4,27.6,"Bavaria",FALSE
228,"Landshut",9,251273,171644,57.5044860292233,53.6395096828319,16.0430891845914,15.8234485330102,2.99864836522104,4.65440096944839,2.86639789331407,3.00680478199063,8.20593787140826,6.65738388758127,1.95113141152618,1.53923236466174,NA,3.56027591992729,68.3097666681259,2480,329.7,132,8.4,11.7,38,15.6,8.5,33.6,451.4,3,20.6,"Bavaria",FALSE
229,"Passau",9,186392,117391,59.1425237028392,53.4666200986447,19.4606060089785,18.4094180984914,NA,4.42793740576364,3.20552682914363,3.7473060115341,5.07364278351833,5.8735337461986,1.86641224625397,1.54270770331627,3.08030428227036,3.84867664471723,62.9807073264947,1599.8,238.4,148.9,8.6,11.5,37.2,16.9,9.8,35.3,352.7,4.3,31.2,"Bavaria",FALSE
230,"Rottal-Inn",9,163308,103874,60.4078017598244,58.2446040395094,15.999191327955,15.0432254462137,1.99279896798044,4.0385467008106,2.56849644761923,2.65032635693244,4.5949900841404,4.80967325798564,NA,1.38051870535456,3.01230336754144,3.58415002791844,63.606191980797,2159.2,210.8,97,8.5,11.3,37.3,16,9.4,36,984.9,2.9,20.6,"Bavaria",FALSE
231,"Straubing",9,173773,111537,60.5888628885482,57.2787505491451,17.3933313608937,15.949864170634,2.3274787738598,4.17170983619785,2.47182549288577,2.95596976787972,3.21149035745986,3.87674045384043,1.71691904928409,1.45870876928732,3.28321543523674,3.92246519092319,64.1854603419403,2244.4,221.7,98.5,8.2,11.3,38.2,16.5,9.2,36,383.3,3.9,29.6,"Bavaria",FALSE
232,"Amberg",9,215146,151021,57.7720979201568,53.0211030254071,20.6944729540925,19.2264651935823,2.08447831758497,3.72994484210805,3.2505413154462,3.34523013355758,4.87680521252011,5.95744962621092,2.50362532363049,1.93350593626052,NA,3.49156739791155,70.1946585109646,2650,276.4,104.2,8.7,11.1,37.9,15.5,9.3,36,336.9,3.1,24.3,"Bavaria",FALSE
233,"Regensburg",9,248820,171954,48.0640171208579,48.0105144399083,21.8320015818184,19.134187050025,3.97199250962467,4.55645114391058,3.39567558765716,3.84812217220885,8.25918559614781,9.16466031613106,2.00809518824802,1.95052165113926,3.62248043081289,4.07085615920537,69.1077887629612,1472.7,323.3,218.3,8.7,13.7,37.9,15.2,8.2,45.3,560.8,3.1,34,"Bavaria",FALSE
234,"Schwandorf",9,216389,141364,57.1857049885402,54.0823689199513,24.5578789507937,19.1463173085085,1.71896663931411,3.32545768371014,2.70224385274893,3.18680852267904,3.19458985314507,4.19272233383322,NA,1.52301859030588,NA,3.23632608019015,65.328644247166,2985.1,271.4,90.8,8.5,11.3,37.9,15.9,9.5,35.1,414,3.1,20.8,"Bavaria",FALSE
235,"Weiden",9,170403,118903,54.6075372362346,52.2493124647822,21.7664819222391,22.2736179911356,1.45917260287798,3.32455867387703,2.62146455514159,3.34894830239775,3.81066920094531,4.26566192610784,1.5188851416701,1.47851610135993,2.40111687678191,3.5684549590843,69.7775273909497,2582.4,212.5,82.5,8.5,11,37.2,16.5,10,34.4,320.5,4.9,40.4,"Bavaria",FALSE
236,"Bamberg",9,179923,126869,51.8038291466,48.5114566994301,22.6958516264809,19.6454610661391,3.35148854330057,4.78682735735286,3.44055679480409,4.05378776533274,8.10521088682026,8.88081406805445,2.38434921060306,2.28976345679402,3.32784210484831,4.10738635915787,70.5129416472602,1003,228.9,227.8,9.1,12.4,37.6,15.3,8.8,51.8,402.8,3.6,29.3,"Bavaria",FALSE
237,"Bayreuth",9,164828,115659,55.2797447669442,49.1496554526669,25.3711341097537,23.0643529686406,2.70882508062494,4.78907823861524,2.80652608097943,3.27082198531891,6.21568576591532,6.74655668819547,2.30245808800007,1.89522648475259,3.0857953120812,3.8345481112581,70.1695100347028,1648.2,206,125.5,9.9,11.5,36.6,16.6,9.7,44.1,380.7,4.3,37.7,"Bavaria",FALSE
238,"Coburg",9,160103,111378,49.6588195155237,46.2990895868125,32.1293253604841,27.5709745192049,1.64754260266839,4.01246206611719,3.30496148251899,3.96397852358635,3.83738260697804,5.66449388568658,1.5415970838047,1.60265043365835,2.82192174397098,4.24679918834958,69.5664665871345,1290.3,197.7,153.6,7.9,10.4,37.7,17.5,10.9,43,612.5,4.4,37.2,"Bavaria",FALSE
239,"Hof",9,174569,118838,54.6020633130817,46.465776940036,28.3840185799155,26.4275736717212,1.28494252680119,3.71766606640973,4.42955956848819,4.72828556522325,5.4267153604066,5.31395681516013,NA,1.89922415389017,3.50729564617378,4.2991299079419,68.075087787637,1557,219.5,141.8,7.5,9.6,36.4,19.1,12.4,41.5,335.9,5,55.4,"Bavaria",FALSE
240,"Kulmbach",9,172449,122307,56.3361050471355,51.8187838799088,22.5555364778794,21.2825104041469,1.63195892303793,3.68989510003516,2.95649472229717,3.59096372243617,3.96134317741421,5.2294635630013,1.80856369627249,1.89359562412617,3.13064665145903,3.92455051632368,70.9235774054938,1733,212.6,122.9,8,10.6,38.3,16.7,9.9,29.5,308.9,3.7,28.6,"Bavaria",FALSE
241,"Ansbach",9,243643,166555,52.7885683407883,47.2156344750983,23.0140193929933,22.02875926871,4.47539851700639,4.57446489147729,3.72369487556663,3.82336165230705,5.80288793491639,8.26813965356789,2.36438413737204,1.96691783494942,NA,3.57239350364744,68.3602648136823,3042.7,312,102.5,8.7,11,36.9,15.9,9.8,37.2,377.2,3,26.2,"Bavaria",FALSE
242,"Erlangen",9,179506,135186,48.1935999289867,41.3800245587561,26.1691299394908,24.1430325625435,2.21176749071649,5.50352847188318,4.15057772254523,4.31997396180078,8.86186439424201,11.3880135516991,2.37894456526563,2.44921811430178,3.249596851745,4.1350435696004,75.3100174924515,641.6,239.5,371.5,8.7,13.5,36.6,15.8,8.6,56.8,569.4,3.1,26.1,"Bavaria",FALSE
243,"Fürth",9,253603,178211,48.8168519339435,42.4188181425389,26.8984518351841,24.9619832670262,1.81750845907379,4.62990500025251,4.22196160730819,4.94694491361364,8.18973015133746,9.04882414665761,2.68894737137438,2.3275779834017,3.13560891303006,4.3903013843141,70.2716450515175,1638.5,330.9,201.1,8.1,11.6,37.8,16.7,9,43.9,309.8,4.1,41.7,"Bavaria",FALSE
244,"Nürnberg-Nord",9,193031,132674,39.0649260593636,34.4815110722523,31.4047967197793,26.6141067579179,2.68025385531453,5.38914934350363,6.10443643818683,7.01795378144927,10.0517056846104,13.148016943787,3.05636371858842,3.18148243061941,3.32921295807769,4.45151273045209,68.7319653319933,85.7,285.7,3307.2,8.6,14.9,35.5,16.7,9.6,42.2,663,7.6,88.5,"Bavaria",FALSE
245,"Nürnberg-Süd",9,185799,121814,43.9350156796427,40.1275715435007,31.9684108558951,28.2094012182508,1.79946475774542,4.17603887894659,4.9567373208334,5.70377789088282,6.702842037861,7.96706454102156,2.50874283744069,2.41023199303857,3.69251481767285,4.70963928612475,65.5622473748513,141.5,267.8,1881.7,8.5,14.3,35.8,16.9,9.6,43.7,643.1,7.1,82.8,"Bavaria",FALSE
246,"Roth",9,226102,168765,50.1395431517198,45.1402838266228,27.3753444138299,24.3575385891624,3.18253192308832,4.42449560039108,3.59316208929577,3.78870026368027,6.60207981512754,8.44191627410897,2.45133765887477,1.92693982757088,NA,3.87106331289071,74.6410911889324,1695,290.7,171.2,7.8,10.3,38.2,17.4,9.3,39.4,391.4,2.8,20,"Bavaria",FALSE
247,"Aschaffenburg",9,184171,131310,51.4743736196786,47.0192673825299,24.6043713350088,21.6343005102429,3.19777625466453,5.33318102200899,2.7728276597365,3.57246211255807,7.83184829792095,8.47993298301729,2.52379864442921,1.93816160231513,NA,4.00807250019039,71.2978699143731,761.6,241.5,316.4,8.1,11.4,37.9,16.5,9.4,40.8,463.4,3.7,36.9,"Bavaria",FALSE
248,"Bad Kissingen",9,217994,155355,57.230858356667,53.2715393775546,19.6736506710437,17.978822696405,2.82642978983618,4.72595024299186,4.46075118277493,4.47105017540472,7.80599272633646,6.35576582665508,2.29281323420553,1.91818737729716,NA,3.21071095233497,71.2657229098049,3115.1,270.3,86.9,8.3,10.5,37.5,16.6,10.2,37.7,284.9,3.6,25,"Bavaria",FALSE
249,"Main-Spessart",9,197762,143137,51.0007894534607,48.8713610037936,22.9234928774531,21.2984762849578,2.53742917624374,4.48032304715063,3.09214249285649,3.38067725326086,6.15494246770576,6.96675213257229,1.97153775753299,1.86534578760209,3.2500331849906,3.9004590008174,72.3784144577826,2037.3,254.7,125.2,8.3,10.6,37.8,16.5,9.7,35.1,395.4,2.9,23.3,"Bavaria",FALSE
250,"Schweinfurt",9,200150,141275,54.1836843036631,50.4434613342771,22.7853477260662,20.4367368607326,2.06759865510529,4.18049902672093,5.31870465404353,4.91240488409131,5.69952220845868,7.00973279065652,2.11927092549991,1.76464342594231,NA,3.30207043001239,70.5845615788159,1561.4,254.8,163,8.7,11.2,36.9,16.6,10.1,41.3,455.9,3.5,35.8,"Bavaria",FALSE
251,"Würzburg",9,226597,166593,48.4870312678204,44.5318830923268,25.2927794084986,22.3448764353844,3.19521228382945,5.09325121703793,3.22582581501023,3.98396091072254,9.87676553036442,11.5917235418055,2.48149682159515,2.40946498352272,2.8998817477325,3.83449484672225,73.5195082017855,1056,292.8,278,10.4,14.3,36,15.4,9.2,48.1,431.3,3.5,33.7,"Bavaria",FALSE
252,"Augsburg-Stadt",9,208231,133378,43.9517761549881,43.2597579810763,24.850425107589,21.9886338076744,3.38211699080808,4.63869603682766,4.80439052917273,5.5413936331329,10.9223410157597,10.4514987479194,2.63011891016509,2.56714000809729,4.72416740391969,5.35020768042706,64.0529027858484,165.2,296.1,1780.2,9.6,14,35,16.4,9.5,47.5,409.6,5.6,61.2,"Bavaria",FALSE
253,"Augsburg-Land",9,244203,176239,60.0553793428242,53.3213420412054,17.5210935150563,17.0938328065865,2.25489250392932,4.61532350955237,2.93748829714195,3.19509302708254,6.84695215020512,7.18910116376057,2.01431011297159,1.752733503935,4.48935820107922,5.1293981468347,72.1690560722022,1567.6,320.1,203.2,8.2,10.6,38,16.5,8.5,28.1,354.3,2.5,19.9,"Bavaria",FALSE
254,"Donau-Ries",9,189974,131055,59.9168288123307,54.9883636641105,17.4415321811453,16.4938384647667,2.41883178818054,4.44393575216512,4.42333371485254,3.25054366487353,6.22105222997978,5.93109763076571,NA,1.47876845599176,NA,4.14558773034222,68.9857559455504,2332.4,246.6,105.3,8.6,11.3,37.3,15.5,8.7,34.1,421.9,2.2,17,"Bavaria",FALSE
255,"Neu-Ulm",9,237651,161614,56.9016298092987,52.3457126239064,18.2038684767409,17.9582214412118,2.70830497357902,4.63140569505117,3.4316333980967,3.68656180776418,7.73757224002871,6.44560495996634,1.90886928112664,1.8500872449169,4.65368099298328,5.56016186716497,68.0047632873415,1684.5,320.8,189.9,8.5,11.7,37.1,16,8.5,38.4,405.3,3.1,25.2,"Bavaria",FALSE
256,"Oberallgäu",9,224278,155635,60.0726057763356,51.9818806823658,17.1696597808976,15.9192983583384,3.53455199665885,5.6214861695634,3.55318533748835,3.58145661322967,8.35994474250651,9.2067979567578,1.97384906993928,1.56198798470781,NA,4.30173161563916,69.3937880665959,1914.7,293.4,152.5,8.2,10.9,35.8,18.1,9.9,36.1,348.6,3.7,24.8,"Bavaria",FALSE
